Date,Temperature,Humidity,Heat Index
20210701,26.2,71.4,26.18
20210702,27.1,64.5,28.54
20210703,23.1,77.3,23.06
20210704,21.3,97.5,21.28
20210705,23.1,81.2,23.06
20210706,25.1,74.5,25.14
20210707,26.3,77,26.3
20210708,26,83.5,25.96
20210709,25.4,77.6,25.41
20210710,25.8,78.7,25.81
20210711,25.8,86.6,25.75
20210712,27.9,75.9,31.23
20210713,28.7,76,33.13
20210714,29.7,71.6,34.61
20210715,29.3,71.1,33.71
20210716,28.7,68.2,31.75
20210717,28.8,63.8,31.28
20210718,29.6,62.2,32.54
20210719,26.8,77.5,29.17
20210720,27.6,77.3,30.82
20210721,30.3,65.4,34.69
20210722,31.1,59.9,35.12
20210723,31.3,61.1,35.73
20210724,31.6,58.9,35.86
20210725,31.5,55.8,34.84
20210726,31.3,55.1,34.26
20210727,31,60.1,34.86
20210728,30.3,66.9,35.01
20210729,29.7,70.3,34.48
20210730,30.3,63.1,34.13
20210731,29.8,70.7,34.7
20210801,27.3,81,30.56
20210802,26.4,83.5,26.43
20210803,27.7,77.7,31.04
20210804,29,70.6,32.88
20210805,29.2,68.3,32.85
20210806,28.2,69.1,30.89
20210807,27.9,66.2,29.93
20210808,26.8,75.3,28.94
20210809,28.1,63.4,30.05
20210810,27.8,62.3,29.32
20210811,27.3,70.2,29.44
20210812,26.9,68,28.59
20210813,26.4,70.8,26.41
20210814,26.3,64.6,26.26
20210815,26.8,59.6,27.83
20210816,27.3,61,28.53
20210817,26.2,63.5,26.23
20210818,24.3,71.3,24.27
20210819,25.8,58.1,25.76
20210820,26.7,61.9,27.88
20210821,23.8,87.1,23.79
20210822,24.4,81.9,24.44
20210823,22.6,89.2,22.57
20210824,23.1,94,23.13
20210825,24.9,86.5,24.88
20210826,25.3,85.5,25.29
20210827,22.9,83.8,22.91
20210828,23.3,81.1,23.28
20210829,23.8,82,23.77
20210830,24.2,78.3,24.19
20210831,20.7,91.4,20.7
